date,open_price,close_price,avg_load,max_solar,avg_wind_onshore,avg_temp,gas_price,price_yesterday
2025-01-03,115.0,136.4,13157.982499999998,1554.0,1802.875,1.9479166666666667,49.622,114.32
2025-01-04,130.39,111.61,12976.924583333333,1251.0,681.4166666666666,1.1083333333333332,49.622,136.4
2025-01-05,94.76,25.99,13770.36875,151.0,3015.8333333333335,5.397916666666667,49.622,111.61
2025-01-06,9.65,19.51,15414.480833333335,1501.0,4433.0,8.822916666666666,47.326,25.99
2025-01-07,8.71,66.19,12541.700416666667,2147.0,3082.1666666666665,3.4583333333333335,47.474,19.51
2025-01-08,52.96,99.98,11021.018749999997,2075.0,1420.9583333333333,2.6083333333333334,45.559,66.19
2025-01-09,100.0,90.97,11860.855000000001,1952.0,1165.9166666666667,2.033333333333333,44.987,99.98
2025-01-10,80.23,118.88,12320.805833333334,2727.0,1227.8333333333333,1.7145833333333333,45.008,90.97
2025-01-11,104.09,140.6,12828.28125,2406.0,305.875,1.0895833333333333,45.008,118.88
2025-01-12,115.0,112.39,12297.225833333336,1249.0,395.5416666666667,2.1041666666666665,45.008,140.6
2025-01-13,105.07,89.37,12893.335416666667,2746.0,686.875,0.3479166666666667,48.261,112.39
2025-01-14,88.75,97.17,12237.687916666668,1637.0,1396.375,2.6666666666666665,46.947,89.37
2025-01-15,99.93,126.06,11391.624583333332,627.0,298.375,6.229166666666667,47.006,97.17
2025-01-16,118.87,100.0,12413.033333333333,1390.0,282.875,4.264583333333333,46.241,126.06
2025-01-17,110.0,125.34,12932.56375,1940.0,210.70833333333334,1.2458333333333333,46.887,100.0
2025-01-18,121.06,129.75,12900.144166666665,2129.0,146.5,-0.3791666666666667,46.887,125.34
2025-01-19,124.26,122.27,13098.550000000001,2484.0,51.333333333333336,-1.175,46.887,129.75
2025-01-20,119.45,113.0,13035.230416666667,718.0,265.7083333333333,-0.42291666666666666,47.853,122.27
2025-01-21,106.76,127.3,13120.891666666668,2702.0,665.7916666666666,0.08958333333333335,50.027,113.0
2025-01-22,123.69,113.92,13368.893333333335,590.0,565.5416666666666,1.4208333333333334,48.716,127.3
2025-01-23,109.1,70.33,14110.080000000002,1804.0,2587.6666666666665,4.95,49.123,113.92
2025-01-24,58.53,57.36,14291.969166666668,215.0,3305.625,7.460416666666667,49.702,70.33
2025-01-25,77.87,116.4,13282.5875,721.0,462.0416666666667,5.3812500000000005,49.702,57.36
2025-01-26,107.47,36.1,13324.946249999999,3273.0,1730.6666666666667,3.84375,49.702,116.4
2025-01-27,30.35,61.6,14336.01375,2579.0,3762.3333333333335,8.779166666666667,47.862,36.1
2025-01-28,55.73,75.79,14478.155833333332,863.0,3122.25,7.589583333333334,48.224,61.6
2025-01-29,71.91,131.34,14599.874166666666,1410.0,2212.3333333333335,6.7625,51.156,75.79
2025-01-30,125.79,120.0,14382.273333333333,476.0,607.875,4.910416666666666,51.726,131.34
2025-01-31,116.49,137.0,14383.750833333334,2094.0,529.3333333333334,2.422916666666667,53.237,120.0
2025-02-01,129.48,133.26,13545.133749999999,3169.0,163.25,1.0104166666666667,53.237,137.0
2025-02-02,126.91,129.54,13357.64125,3259.0,251.08333333333334,-0.45833333333333326,53.237,133.26
2025-02-03,126.63,132.4,13941.8175,3442.0,413.0416666666667,0.7416666666666666,53.794,129.54
2025-02-04,125.54,94.84,13810.54625,1927.0,1423.9583333333333,2.7458333333333336,52.048,132.4
2025-02-05,98.84,133.67,14163.327083333332,3350.0,962.625,4.416666666666667,53.438,94.84
2025-02-06,126.84,126.05,14309.8275,1771.0,1021.9583333333334,3.095833333333333,54.502,133.67
2025-02-07,112.7,78.4,13982.247083333335,1605.0,2881.9583333333335,2.99375,55.723,126.05
2025-02-08,72.5,135.0,13483.436666666666,1181.0,1441.9583333333333,4.4437500000000005,55.723,78.4
2025-02-09,135.7,107.5,13443.454166666668,2616.0,1066.3333333333333,3.4312500000000004,55.723,135.0
2025-02-10,86.32,63.0,13766.401666666667,1350.0,2056.0833333333335,1.4749999999999999,58.039,107.5
2025-02-11,65.0,130.55,13922.133749999999,465.0,1978.4583333333333,2.8541666666666665,57.766,63.0
2025-02-12,128.13,138.58,13911.323750000001,1293.0,302.0833333333333,3.6916666666666664,55.661,130.55
2025-02-13,135.12,137.57,13922.772916666667,1758.0,571.7916666666666,0.6375000000000001,51.383,138.58
2025-02-14,132.76,132.9,13084.167916666667,1985.0,90.20833333333333,0.5479166666666667,50.685,137.57
2025-02-15,128.04,134.11,11603.873749999999,1936.0,215.33333333333334,1.0979166666666667,50.685,132.9
2025-02-16,128.9,128.05,13023.209166666667,3463.0,961.5,0.6187499999999999,50.685,134.11
2025-02-17,121.06,133.01,13282.04125,4122.0,583.9583333333334,-1.4041666666666668,48.136,128.05
2025-02-18,125.06,104.95,13704.794166666668,3990.0,1208.125,-0.9666666666666668,49.215,133.01
2025-02-19,99.7,87.65,13693.030416666666,3762.0,1782.5416666666667,1.0,48.264,104.95
2025-02-20,86.67,74.03,13891.070416666667,757.0,1857.9583333333333,6.660416666666666,47.494,87.65
2025-02-21,70.09,53.83,13472.350833333336,3137.0,2212.125,12.470833333333333,47.195,74.03
2025-02-22,49.16,106.0,12699.158333333333,895.0,1832.3333333333333,10.077083333333333,47.195,53.83
2025-02-23,92.6,10.0,12847.5175,3339.0,1779.75,9.827083333333334,47.195,106.0
2025-02-24,11.89,90.58,13514.630416666667,673.0,2882.8333333333335,10.410416666666666,47.144,10.0
2025-02-25,89.97,119.08,13661.95375,1921.0,784.2916666666666,7.820833333333333,44.291,90.58
2025-02-26,113.54,101.65,13415.030833333332,3432.0,914.2083333333334,7.072916666666667,41.336,119.08
2025-02-27,103.81,97.1,14115.779999999999,1998.0,1032.875,5.204166666666667,44.93,101.65
2025-02-28,110.54,126.47,13423.66625,2714.0,891.875,5.060416666666667,44.32,97.1
2025-03-01,119.47,123.97,12535.967083333331,1921.0,220.58333333333334,4.116666666666666,44.32,126.47
2025-03-02,107.72,108.28,12791.93125,3940.0,131.20833333333334,2.5520833333333335,44.32,123.97
2025-03-03,103.85,121.29,12856.74,4086.0,289.625,1.833333333333333,45.213,108.28
2025-03-04,109.76,92.0,12820.5025,4049.0,447.5416666666667,2.6083333333333334,43.464,121.29
2025-03-05,92.9,84.1,12398.437916666668,4232.0,997.5833333333334,5.916666666666667,41.508,92.0
2025-03-06,84.14,84.58,13587.530833333332,3959.0,1103.3333333333333,8.00625,38.24,84.1
2025-03-07,86.0,117.57,12749.365,3993.0,939.9583333333334,10.075000000000001,39.971,84.58
2025-03-08,102.51,84.97,12464.535416666668,4146.0,771.75,10.458333333333334,39.971,117.57
2025-03-09,86.8,94.94,12711.5,4179.0,607.9166666666666,10.220833333333333,39.971,84.97
2025-03-10,91.98,100.64,12848.115,4194.0,477.875,8.764583333333333,41.232,94.94
2025-03-11,97.61,100.93,13269.532916666665,1428.0,670.0,5.554166666666666,42.71,100.64
2025-03-12,98.68,108.52,12307.691249999998,3127.0,336.3333333333333,4.01875,42.254,100.93
2025-03-13,102.51,109.09,12266.627500000002,3129.0,496.5,3.21875,42.076,108.52
2025-03-14,106.0,112.15,11862.835000000001,2989.0,524.125,2.560416666666667,42.29,109.09
2025-03-15,103.14,90.01,10761.579583333334,3558.0,1069.4583333333333,3.266666666666667,42.29,112.15
2025-03-16,85.79,104.6,11115.610833333332,3428.0,717.2083333333334,3.670833333333333,42.29,90.01
2025-03-17,106.8,92.2,11761.796666666667,3697.0,1016.625,4.945833333333333,41.248,104.6
2025-03-18,89.99,98.68,12269.235833333334,4547.0,1000.8333333333334,4.314583333333334,40.755,92.2
2025-03-19,94.37,108.74,12346.704166666668,4421.0,540.6666666666666,7.470833333333334,43.355,98.68
2025-03-20,95.11,108.01,12565.693333333335,4067.0,371.2916666666667,10.18125,42.855,108.74
2025-03-21,100.1,26.93,12177.386250000001,4287.0,2089.9166666666665,13.31875,42.605,108.01
2025-03-22,13.87,91.0,10390.254583333333,2516.0,2216.875,13.7125,42.605,26.93
2025-03-23,80.0,108.5,11059.990833333335,2983.0,666.2083333333334,12.079166666666667,42.605,91.0
2025-03-24,102.81,100.62,10853.892916666666,3144.0,219.375,9.706249999999999,42.748,108.5
2025-03-25,99.0,101.02,11511.707916666666,3085.0,576.9583333333334,8.239583333333334,41.555,100.62
2025-03-26,97.95,103.91,11460.936666666666,2919.0,453.75,7.810416666666668,40.87,101.02
2025-03-27,97.39,85.21,11708.971250000002,4449.0,272.4166666666667,7.337500000000001,41.202,103.91
2025-03-28,79.05,104.32,11000.977083333333,3209.0,810.5833333333334,7.777083333333333,40.587,85.21
2025-03-29,96.17,17.5,9899.7475,3982.0,860.125,7.849999999999999,40.587,104.32
2025-03-30,12.2,63.25,11357.922916666668,3846.0,3753.0833333333335,9.629166666666666,40.587,17.5
2025-03-31,64.41,93.07,11375.498749999999,3724.0,1096.5416666666667,7.931250000000001,40.667,63.25
2025-04-01,90.84,63.04,11847.4325,4511.0,997.0,8.204166666666667,42.45,93.07
2025-04-02,62.75,59.2,12033.880416666667,4493.0,2058.4583333333335,10.90625,41.263,63.04
2025-04-03,58.7,98.88,11462.602916666665,4609.0,1429.625,13.502083333333331,39.203,59.2
2025-04-04,98.87,94.27,11262.065833333334,4607.0,787.375,13.939583333333333,36.401,98.88
2025-04-05,92.43,61.0,9973.564583333333,4652.0,1474.6666666666667,10.204166666666666,36.401,94.27
2025-04-06,60.22,81.66,10275.3975,4742.0,1098.7916666666667,7.7,36.401,61.0
2025-04-07,78.69,84.14,11171.911666666667,4634.0,405.7083333333333,7.737500000000001,37.0,81.66
2025-04-08,80.42,85.0,11309.578333333331,4450.0,399.0,8.643749999999999,36.231,84.14
2025-04-09,85.6,83.95,10984.097500000002,3962.0,747.4166666666666,7.777083333333334,33.666,85.0
